sku;Titulo;image;media_gallery;color;small_image;thumbnail
G_CM_IRON_NUMBER;Camisa com manga Iron Number;iron number.jpg;Iron number costas.jpg::Costas;preta;iron number.jpg;iron number.jpg
CMCMP00315;Camisa com manga Iron Power;;;;;
G_CM_IRON_POWERSLAVE;Camisa com manga Iron Powerslave;Iron Maiden frente.jpg;Iron Maiden Trás.jpg::Costas;preta;Iron Maiden frente.jpg;Iron Maiden frente.jpg
CMCMP00237;Camisa com manga Iron Trooper  A Pe;;;;;
G_CM_IRON_TROOPER_A_PE;Camisa com manga Iron Trooper A Pe;;;;;
CMBLG00065;Camisa Baby Look Iron Trooper Cavalo;;;;;
G_CM_IRON_TROOPER_CAVALO;Camisa com manga Iron Trooper Cavalo;iron cavalo.jpg;;preta;iron cavalo.jpg;iron cavalo.jpg
G_BL_JACK_DANIELS;Camisa Baby Look Jack Daniels;;;;;
G_CM_JACK_DANIELS;Camisa com manga Jack Daniels;;;;;
G_CM_JANIS_ESCRITO_LADO;Camisa com manga Janis Escrito Lado;;;;;
G_CM_JASON_FACAO;Camisa com manga Jason Facao;;;;;
G_CM_JASON_MASCARA;Camisa com manga Jason Mascara;Jason motoserra.jpg;;preta;Jason motoserra.jpg;Jason motoserra.jpg
G_CM_JETHRO_TULL_AQUALUNG;Camisa com manga Jethro Tull Aqualung;;;;;
G_CM_JETHRO_TULL_PAST;Camisa com manga Jethro Tull Past;Jethro Tull.jpg;Jethro Tull costas.jpg::Costas;preta;Jethro Tull.jpg;Jethro Tull.jpg
G_CM_JHONNY_CASH_HCD;Camisa com manga Jhonny Cash Hcd;jhonny.png;;preta;jhonny.png;jhonny.png
G_CM_JIM_CAVEIRA_BRACOS;Camisa com manga Jim Caveira Bracos;Morrison braços.jpg;;branca;Morrison braços.jpg;Morrison braços.jpg
G_CM_JIMI_BLACK;Camisa com manga Jimi Black;Hendrix black.jpg;;branca;Hendrix black.jpg;Hendrix black.jpg
G_CM_JIMI_CHAPEU;Camisa com manga Jimi Chapeu;Hendrix chapeu.jpg;;branca;Hendrix chapeu.jpg;Hendrix chapeu.jpg
G_CM_JOAO_NOGUEIRA;Camisa com manga Joao Nogueira;;;;;
CMCMP00296;Camisa com manga Johnny Cash Hcd;;;;;
CMBLG00039;Camisa Baby Look Joy Division;;;;;
G_CM_JOY_DIVISION;Camisa com manga Joy Division;joy division.jpg;;preta;joy division.jpg;joy division.jpg
CMCMM00384;Camisa com manga Joy Division Cantado;;;;;
G_CM_JOY_DIVISION_CANTANDO;Camisa com manga Joy Division Cantando;;;;;
G_CM_JUDAS_PAINKILLER;Camisa com manga Judas Painkiller;JUDAS PAINKILLER.jpg;JUDAS PAINKILLER COSTAS.jpg::Costas;preta;JUDAS PAINKILLER.jpg;JUDAS PAINKILLER.jpg
G_CM_JUDAS_PRIEST_STEEL;Camisa com manga Judas Priest Steel;judas priest.jpg;;preta;judas priest.jpg;judas priest.jpg
CMBLG00059;Camisa Baby Look Judas Steel;;;;;
G_CM_JUSTICEIRO_CAVEIRA_BRANCA;Camisa com manga Justiceiro Caveira Branca;;;;;
G_CM_JUSTICEIRO_CINZA;Camisa com manga Justiceiro Cinza;;;;;
CMCMM00138;Camisa com manga Killers Equinox;;;;;
CMCMP00280;Camisa com manga Killers Master;;;;;
G_CM_KISS_DESTROYER;Camisa com manga Kiss Destroyer;;;;;
G_CM_KISS_DYNASTY;Camisa com manga Kiss Dynasty;;;;;
CMBLG00049;Camisa Baby Look Kiss Rock And Roll;;;;;
G_CM_KISS_ROCK_AND_ROLL;Camisa com manga Kiss Rock And Roll;;;;;
G_CM_KORN_ESCRITO;Camisa com manga Korn Escrito;;;;;
G_CM_KORN_UNTOUCHBLES;Camisa com manga Korn Untouchbles;;;;;
G_CM_KREATOR_PHANTOM;Camisa com manga Kreator Phantom;;;;;
G_CM_KREATOR_PLEASURE;Camisa com manga Kreator Pleasure;Kreator - Pleasure to Kill.jpg;Kreator - costas - Plesure to Kill.jpg::Costas;preta;Kreator - Pleasure to Kill.jpg;Kreator - Pleasure to Kill.jpg
G_BL_LARANJA_MECANICA;Camisa Baby Look Laranja Mecanica;;;;;
G_CM_LARANJA_MECANICA;Camisa com manga Laranja Mecanica;;;;;
G_CM_LEAGUE_OF_LEGENDS;Camisa com manga League Of Legends;leagle.png;;preta;leagle.png;leagle.png
CMBLG00048;Camisa Baby Look Led Anjo Color;baby/led zeppelin anjo colorido.jpg;;;baby/led zeppelin anjo colorido.jpg;baby/led zeppelin anjo colorido.jpg
CMCMG00176;Camisa com manga Led Anjo Colorida;;;;;
G_CM_LED_ANJO_COLORIDO;Camisa com manga Led Anjo Colorido;;;;;
CMBLG00027;Camisa Baby Look Led Anjo Dourado;baby/led zeppelin anjo dourado.jpg;;;baby/led zeppelin anjo dourado.jpg;baby/led zeppelin anjo dourado.jpg
